page_ark,catalog_no,section,name,vintage,perprice,caseprice,bottle_type,type,wine_type,color,country,xy
-1,823,Sonoma Vineyards Wine Sampler,French Colombard,1972,2.69,29.05,Standard,wine,Still,White,United States of America,"{NULL,NULL}"
-1,865,Sonoma Vineyards Wine Sampler,Petite Sirah,1971,2.99,32.2,Standard,wine,Still,Red,United States of America,"{NULL,NULL}"
-1,841,Sonoma Vineyards Wine Sampler,Sonoma Vineyards Pinot Noir,0,3.99,43.1,Standard,wine,Still,Red,,"{NULL,NULL}"
-1,847,Sonoma Vineyards Wine Sampler,Cabernet Sauvignon,0,3.99,43.1,Standard,wine,Still,Red,United States of America,"{NULL,NULL}"
-1,873,Sonoma Vineyards Wine Sampler-Pink Wines,Gernache Rose,1972,2.69,29.05,Standard,wine,Still,Rosé,United States of America,"{NULL,NULL}"
-1,829,Sonoma Vineyards Wine Sampler-Red Wine,Gamay,1971,2.99,32.3,Standard,wine,Still,Red,United States of America,"{NULL,NULL}"
-1,858,Sonoma Vineyards Wine Sampler-Red Wines,Burgundy,1971,2.49,26.9,Standard,wine,Still,Red,United States of America,"{NULL,NULL}"
-1,833,Sonoma Vineyards Wine Sampler-Red Wines,Zinfandel,1971,2.69,29.05,Standard,wine,Still,Red,United States of America,"{NULL,NULL}"
-1,862,Sonoma Vineyards Wine Sampler-White Winers,Chablis,1972,2.49,26.9,Standard,wine,Still,White,United States of America,"{NULL,NULL}"
-1,812,Sonoma Vineyards Wine Sampler-White Wines,Chenin Blanc,1972,2.99,22.3,Standard,wine,Still,White,United States of America,"{NULL,NULL}"
-1,830,Sonoma Vineyards Wine Sampler-White Wines,Sauvignon Blanc,0,2.99,32.2,Standard,wine,Still,White,United States of America,"{NULL,NULL}"
-1,835,Sonoma Vineyards Wine Sampler-White Wines,Pinot Chardonnay,0,3.99,43.1,Standard,wine,Still,Red,United States of America,"{NULL,NULL}"
-2,244,Red Bordeaux For Sale,Chateau Clos Fourtet (St. Emilion),1969,5.49,59.3,Standard,wine,Still,Red,France,"{NULL,NULL}"
-2,832,Red Bordeaux on Sale,Chateau LaTour Haut Vignoble (St. Estephe),1970,3.59,38.75,Standard,wine,Still,Red,France,"{NULL,NULL}"
-2,448,Red Bordeaux on Sale,Chateau LaTour De By (Medoc),1971,4.49,48.5,Standard,wine,Still,Red,France,"{NULL,NULL}"
-2,713,Red Bordeaux on Sale,"Bordeaux Rouge, Chateau Mazarin",1970,1.99,21.5,Standard,wine,Still,Red,France,"{NULL,NULL}"
-2,432,Red Bordeaux on Sale,Chateau du Parc (Haut-Medoc),1967,3.39,36.6,Standard,wine,Still,Red,France,"{NULL,NULL}"
-2,122,Red Bordeaux on Sale,Chateau Masion Blanche (Montagne-St. Emilion),1969,3.39,36.6,Standard,wine,Still,Red,France,"{NULL,NULL}"
-2,237,Red Bordeaux on Sale,Chateau Hanteillan (Haut-Medoc),1970,3.49,37.7,Standard,wine,Still,Red,France,"{NULL,NULL}"
-2,98,Red Bordeaux on Sale,Chateau Greysac (Medoc),1969,3.59,38.75,Standard,wine,Still,Red,France,"{NULL,NULL}"
-2,357,Red Bordeaux on Sale,Chateau Grand Maision (Cotes de Bourg),1970,2.69,29.05,Standard,wine,Still,Red,France,"{NULL,NULL}"
-2,168,Red Bordeaux On Sale,Chateau Canon De Brem (Canon-Fronsac),1969,2.99,32.3,Standard,wine,Still,Red,France,"{NULL,NULL}"
-2,810,Red Bordeaux On Sale,"Medoc, Chateau La Franquette",1970,2.99,32.3,Standard,wine,Still,Red,France,"{NULL,NULL}"
-3,856,Red Bordeaux,Chateau Ducru Beaucaillou (St. Julien),1967,13.95,150.65,Standard,wine,Still,Red,France,"{NULL,NULL}"
-3,193,Red Bordeaux,Chateau Cos D'Estournel (St. Estephe),1967,14.95,161.45,Standard,wine,Still,Red,France,"{NULL,NULL}"
-3,180,Red Bordeaux For Sale,Chateau Ducru Beaucaillou (St. Julien),1964,16.95,183.05,Standard,wine,Still,Red,France,"{NULL,NULL}"
-3,132,Red Bordeaux on Sale,Chateau Figeac (St. Emilion),1962,9.95,107.45,Standard,wine,Still,Red,France,"{NULL,NULL}"
-3,235,Red Bordeaux on Sale,Chateau Pichon LaLande (Pauillac),1969,6.95,75.05,Standard,wine,Still,Red,France,"{NULL,NULL}"
-3,138,Red Bordeaux on Sale,Chateau LaTour (Pauillac),1968,9.95,107.45,Standard,wine,Still,Red,France,"{NULL,NULL}"
-3,201,Red Bordeaux On sale,Chateau Leoville Lascases (St. Julien),1964,19.95,215.45,Standard,wine,Still,Red,France,"{NULL,NULL}"
-3,146,Red Bordeaux On sale,Chateau Calon Segur (St. Estephe),1962,15.95,172.25,Standard,wine,Still,Red,France,"{NULL,NULL}"
-3,166,Red Bordeaux On Sale,Chateau Leoville Lascases (St. Julien),1967,14.5,156.6,Standard,wine,Still,Red,France,"{NULL,NULL}"
-3,155,Red Bordeaux On Sale,Chateau Petrus (Pomerol),1968,9.95,107.45,Standard,wine,Still,Red,France,"{NULL,NULL}"
-3,186,Red Bordeaux On Sale,Chateau Giscours (Margaux),1966,11.95,129.05,Standard,wine,Still,Red,France,"{NULL,NULL}"
-3,180,Red Bordeaux On Sale,Chateau Ducru Beaucaillou (St. Julien),1966,18.95,204.65,Standard,wine,Still,Red,France,"{NULL,NULL}"
-3,463,Red Bordeaux On Sale,Chateau Lynch Bages (Pauillac),1967,12.95,139.85,Standard,wine,Still,Red,France,"{NULL,NULL}"
-3,636,Red Bordeaux On Sale,Chateau Lynch Bages (Pauillac),1966,14.5,15.6,Standard,wine,Still,Red,France,"{NULL,NULL}"
-3,430,Red Bordeaux On Sale,Chateau Calon Segur (St. Estephe),1964,14.95,161.45,Standard,wine,Still,Red,France,"{NULL,NULL}"
-4,1182,Red Bordeaux,Chateau LaTour (Pauillac),1955,65,702,Standard,wine,Still,Red,France,"{NULL,NULL}"
-4,111,Red Bordeaux,Chateau Haut Brion (Graves),1966,24.5,267.3,Standard,wine,Still,Red,France,"{NULL,NULL}"
-4,312,Red Bordeaux on Sale,Chateau Cheval Blanc ( St . Emilian),1967,22.5,243,Standard,wine,Still,Red,France,"{NULL,NULL}"
-4,215,Red Bordeaux On Sale,Chateau Lafite Rothschild (Pauillac),1966,34.95,377.45,Standard,wine,Still,Red,France,"{NULL,NULL}"
-4,356,Red Bordeaux On Sale,Chateau Margaux (Margaux),1966,29.5,318.6,Standard,wine,Still,Red,France,"{NULL,NULL}"
-4,215,Red Bordeaux On Sale,Chateau Lafite Rothschild (Pauillac),1967,29.5,318.6,Standard,wine,Still,Red,France,"{NULL,NULL}"
-4,149,Red Bordeaux On Sale,Chateau Latour (Pauillac),1964,29.5,318.6,Standard,wine,Still,Red,France,"{NULL,NULL}"
-4,1141,Red Bordeaux On Sale,Chateau Cheval Blanc,1959,85,459,Magnum,wine,Still,Red,France,"{NULL,NULL}"
-4,455,Red Bordeaux On Sale,Chateau Mouton Rothschild (Pauillac),1966,34.95,377.45,Standard,wine,Still,Red,France,"{NULL,NULL}"
-4,1151,Red Bordeaux On Slae,Chateau Cheval Blanc (St. Emilion),1949,69.5,750.6,Standard,wine,Still,Red,France,"{NULL,NULL}"
-4,227,White Bordeaux On sale,Chateau Haut Brion Blanc (Graves),1970,16.95,183.05,Standard,wine,Still,White,France,"{NULL,NULL}"
-5,326,Beaujolais On Sale,Beaujolais Villages,1972,2.69,29.05,Standard,wine,Still,Red,France,"{NULL,NULL}"
-5,351,Beaujolais On Sale,Fleurie (A. Depardon),1972,3.49,37.7,Standard,wine,Still,Red,France,"{NULL,NULL}"
-5,-1,Beaujolais On Sale,Brouilly (Chateau de La Chaize ),1972,3.69,39.85,Standard,wine,Still,Red,France,"{NULL,NULL}"
-5,265,Beaujolais On Sale,Brouilly (Chateau de La Chaize),1972,3.69,39.85,Standard,wine,Still,Red,France,"{NULL,NULL}"
-5,1180,Beaujolais On Sale,Beaujolais Villages (La Chaize),1970,6.99,37.75,Magnum,wine,Still,Red,France,"{NULL,NULL}"
-5,269,Beaujolais On Sale,Moulin-A-Vent (Rt. Hon. Ernest Marples),1970,2.99,32.3,Standard,wine,Still,Red,France,"{NULL,NULL}"
-5,295,Beaujolais On Sale,Brouilly ( Rt.  Hon. Ernest Marples),1971,2.99,32.3,Standard,wine,Still,Red,France,"{NULL,NULL}"
-5,301,Beaujolias On Sale,Julienas (Domain Laneyrie),1971,3.99,43.1,Standard,wine,Still,Red,France,"{NULL,NULL}"
-6,431,Red Burgundies on Sale,pinot noir (Domaine Quillardet),0,4.29,46.35,Standard,wine,Still,Red,France,"{NULL,NULL}"
-6,561,Red Burgundies on Sale,Cotes de Beaune Villages  (B. Bachelet),1971,5.49,59.3,Standard,wine,Still,Red,France,"{NULL,NULL}"
-6,337,Red Burgundies on Sale,chassagne montrachet (Bachelet-Ramonet),1969,4.49,48.5,Standard,wine,Still,Red,France,"{NULL,NULL}"
-7,973,The Brother Timothy Wine Sampler,Brother Timothy Pinot Chardonnay,0,3.85,41.58,Standard,wine,Still,White,United States of America,"{NULL,NULL}"
-7,933,The Brother Timothy Wine Sampler,Brother Timothy Zinfandel,0,2.8,30.24,Standard,wine,Still,Red,United States of America,"{NULL,NULL}"
-7,897,The Brother Timothy Wine Sampler,Brother Timothy Gamay Noir,0,3.05,36.94,Standard,wine,Still,Red,United States of America,"{NULL,NULL}"
-7,905,The Brother Timothy Wine Sampler,Brother Timothy Cabernet sauvignon,0,3.39,36.62,Standard,wine,Still,Red,United States of America,"{NULL,NULL}"
-7,6001,The Brother Timothy Wine Sampler,Christian Bros. Pinot Noir,0,3.39,36.62,Standard,wine,Still,Red,United States of America,"{NULL,NULL}"
-7,982,The Brother Timothy Wine Sampler,Brother Timothy Pineau de la Loire,0,3.85,41.58,Standard,wine,Still,White,United States of America,"{NULL,NULL}"
-8,316,White Burgundies On Sale,Puligny Montrachet (Sauzet),1970,5.99,64.7,Standard,wine,Still,White,France,"{NULL,NULL}"
-8,712,White Burgundies On Sale,Chevalier Montrachet (Niellon),1971,15.95,172.25,Standard,wine,Still,White,France,"{NULL,NULL}"
-8,715,White Burgundies On Sale,Batard Montrachet,1971,14.95,161.45,Standard,wine,Still,White,France,"{NULL,NULL}"
-8,784,White Burgundies On Sale,Puligny Montrachet (Sauzet),1971,7.29,78.75,Standard,wine,Still,White,France,"{NULL,NULL}"
