name_id,xy,page_ark,catalog_no,section,name,vintage,perprice,caseprice,bottle_type,type,wine_type,color,country,entry_name,entry_perprice,entry_caseprice,entry_country,entry_vintage,entry_color,entry_variety,entry_region,entry_province,name_dis,xy_dis,score
d7101s-025_1_1,"{522,-1820}",d7101s-025,901,Wines of America,Mountain Red (Almadon),0,1.85,19.98,Standard,wine,Still,Red,United States of America,MOUNTAIN RED (Almaden),1.85,19.98,US,,red,,,,1,170,0
d71s3g-005_1_3,"{566,-1389}",d71s3g-005,36,Champagnes on Sale,Marcel Pere Et Fils Brut,1959,4.59,50.25,Standard,wine,Sparkling,White,France,MARCEL PERE FILS BRUT,4.59,50.25,,1959,,,,,3,321,0
d72013-005_1_7,"{814,-3439}",d72013-005,170,Bordeaux Rouges,CHATEAU LA MISSION HAUT BRION (Graves),1962,5.49,59.30,Standard,wine,Still,Red,France,CHATEAU COS D'ESTOURNEL Estephe,7.95,85.85,France,,,,Saint Estephe,,25,531,49.2
d72s3s-002_1_1,"{914,-1479}",d72s3s-002,87,Coteaux Champenois,Charbaut Blanc de Blancs Nature,0,3.99,43.10,Standard,wine,Still,White,France,CHARBAUT BLANC DE BLANCS NATURE,3.27,43.10,,,white,,,,0,348,14.4
d7388t-004_1_1,"{1058,-876}",d7388t-004,-1,Champagnes,"Cliquot, Vueve Non-Vintage",0,3.90,47.00,Standard,wine,Sparkling,White,,Non Vintage Yellow Label,5.25,57.00,,1928,,,,,22,97,27
d7388t-004_1_11,"{1087,-1904}",d7388t-004,-1,Champagnes,"Lanson, Extra Dry",1928,5.10,55.00,Fifth,wine,Sparkling,White,,Extra Dry Magnums,10.80,58.50,,,,,,,16,126,114
d7388t-004_1_5,"{1067,-1253}",d7388t-004,-1,Champagnes,Heidsieck & Co Brut Special,0,3.75,41.00,Fifth,wine,Sparkling,White,,"",4.50,48.00,,,,,,,27,106,15
d7388t-005_1_16,"{3204,-2712}",d7388t-005,-1,Chateau Bottled Red Bordeaux,Chateau Latour de Mons,1928,1.19,13.00,Standard,wine,Still,Red,France,CCC Chateau Latour de Mons,1.19,13.00,France,,,,,,4,3204,0
d7388t-006_1_1,"{980,-991}",d7388t-006,-1,Chateau Bottled Red Bordeaux,Chateau Cantemerle,1926,1.95,21.00,Standard,wine,Still,Red,France,Chateau Cantemerle Fah,8.37,81.08,France,,,,,,4,31,128.4
d73s33-006_2_2,"{600,-3417}",d73s33-006,28,"""Best Buys"" in Champagne for the New Year's Celebration",Mesnil Blanc de Blancs,1961,6.98,75.50,Standard,wine,Sparkling,White,United States of America,MESNIL BLANC DE BLANCS,6.98,,,1961,white,,,,0,415,0
